adduser 3.153ubuntu1
apt 3.2.0
attr 1:2.5.2-4
base-files 14ubuntu6.1
base-passwd 3.6.8
bash 5.3-2ubuntu1
binutils 2.46-3ubuntu2
binutils-common 2.46-3ubuntu2
binutils-x86-64-linux-gnu 2.46-3ubuntu2
bsdutils 1:2.41.3-3ubuntu2
ca-certificates 20260601~26.04.1
clang 1:21.1.6-71
clang-21 1:21.1.8-6ubuntu1
coreutils 9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils 0.0.0~ubuntu25
cpp 4:15.2.0-5ubuntu1
cpp-15 15.2.0-16ubuntu1
cpp-15-x86-64-linux-gnu 15.2.0-16ubuntu1
cpp-x86-64-linux-gnu 4:15.2.0-5ubuntu1
curl 8.18.0-1ubuntu2.4
dash 0.5.12-12ubuntu3
debconf 1.5.92
debianutils 5.23.2build1
diffutils 1:3.12-1
dpkg 1.23.7ubuntu1
e2fsprogs 1.47.2-3ubuntu4
file 1:5.46-5build2
findutils 4.10.0-3build2
fuse3 3.18.2-1
g++ 4:15.2.0-5ubuntu1
g++-15 15.2.0-16ubuntu1
g++-15-x86-64-linux-gnu 15.2.0-16ubuntu1
g++-x86-64-linux-gnu 4:15.2.0-5ubuntu1
gcc 4:15.2.0-5ubuntu1
gcc-15 15.2.0-16ubuntu1
gcc-15-base 15.2.0-16ubuntu1
gcc-15-x86-64-linux-gnu 15.2.0-16ubuntu1
gcc-16-base 16-20260322-1ubuntu1
gcc-x86-64-linux-gnu 4:15.2.0-5ubuntu1
gnu-coreutils 9.7-3ubuntu2
gpgv 2.4.8-4ubuntu3
grep 3.12-1
gzip 1.14-1~exp2ubuntu1.1
hostname 3.25build1
init-system-helpers 1.69
libacl1 2.3.2-2
libapt-pkg7.0 3.2.0
libasan8 16-20260322-1ubuntu1
libatomic1 16-20260322-1ubuntu1
libattr1 1:2.5.2-4
libaudit-common 1:4.1.2-1build1
libaudit1 1:4.1.2-1build1
libbinutils 2.46-3ubuntu2
libblkid1 2.41.3-3ubuntu2
libbrotli1 1.2.0-3build1
libbsd0 0.12.2-2build2
libbz2-1.0 1.0.8-6build2
libc-bin 2.43-2ubuntu2.3
libc-dev-bin 2.43-2ubuntu2.3
libc-gconv-modules-extra 2.43-2ubuntu2.3
libc6 2.43-2ubuntu2.3
libc6-dev 2.43-2ubuntu2.3
libcap-ng0 0.8.5-4build5
libcc1-0 16-20260322-1ubuntu1
libclang-21-dev 1:21.1.8-6ubuntu1
libclang-common-21-dev 1:21.1.8-6ubuntu1
libclang-cpp21 1:21.1.8-6ubuntu1
libclang-dev 1:21.1.6-71
libclang1-21 1:21.1.8-6ubuntu1
libcom-err2 1.47.2-3ubuntu4
libcrypt1 1:4.5.1-1
libctf-nobfd0 2.46-3ubuntu2
libctf0 2.46-3ubuntu2
libcurl4t64 8.18.0-1ubuntu2.4
libdb5.3t64 5.3.28+dfsg2-10ubuntu1
libdebconfclient0 0.280ubuntu1
libedit2 3.1-20251016-1
libexpat1 2.7.4-1
libext2fs2t64 1.47.2-3ubuntu4
libffi8 3.5.2-4
libfuse3-4 3.18.2-1
libgc1 1:8.2.12-1
libgcc-15-dev 15.2.0-16ubuntu1
libgcc-s1 16-20260322-1ubuntu1
libgcrypt20 1.12.0-2ubuntu1
libgmp10 2:6.3.0+dfsg-5ubuntu2
libgnutls30t64 3.8.12-2ubuntu1.1
libgomp1 16-20260322-1ubuntu1
libgpg-error0 1.58-2
libgprofng0 2.46-3ubuntu2
libgssapi-krb5-2 1.22.1-2ubuntu4.1
libhogweed6t64 3.10.2-1
libhwasan0 16-20260322-1ubuntu1
libidn2-0 2.3.8-4build1
libisl23 0.27-1build1
libitm1 16-20260322-1ubuntu1
libjansson4 2.14-2build4
libk5crypto3 1.22.1-2ubuntu4.1
libkeyutils1 1.6.3-6ubuntu3
libkrb5-3 1.22.1-2ubuntu4.1
libkrb5support0 1.22.1-2ubuntu4.1
libldap-common 2.6.10+dfsg-1ubuntu5
libldap2 2.6.10+dfsg-1ubuntu5
libllvm21 1:21.1.8-6ubuntu1
liblsan0 16-20260322-1ubuntu1
liblz4-1 1.10.0-8
liblzma5 5.8.3-1
libmagic-mgc 1:5.46-5build2
libmagic1t64 1:5.46-5build2
libmd0 1.1.0-2build4
libmount1 2.41.3-3ubuntu2
libmpc3 1.3.1-3
libmpfr6 4.2.2-3
libncursesw6 6.6+20251231-1
libnettle8t64 3.10.2-1
libnghttp2-14 1.68.0-2ubuntu0.2
libobjc-15-dev 15.2.0-16ubuntu1
libobjc4 16-20260322-1ubuntu1
libp11-kit0 0.26.2-2
libpam-modules 1.7.0-5ubuntu3.1
libpam-modules-bin 1.7.0-5ubuntu3.1
libpam-runtime 1.7.0-5ubuntu3.1
libpam0g 1.7.0-5ubuntu3.1
libpcre2-8-0 10.46-1build1
libproc2-0 2:4.0.4-9ubuntu1
libpsl5t64 0.21.2-1.1build2
libpython3-stdlib 3.14.3-0ubuntu2
libpython3.14-minimal 3.14.4-1ubuntu0.1
libpython3.14-stdlib 3.14.4-1ubuntu0.1
libquadmath0 16-20260322-1ubuntu1
libreadline8t64 8.3-4
librtmp1 2.4+20151223.gitfa8646d.1-3
libsasl2-2 2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db 2.1.28+dfsg1-9ubuntu3
libseccomp2 2.6.0-2ubuntu5
libselinux1 3.9-4build1
libsemanage-common 3.9-1build1
libsemanage2 3.9-1build1
libsepol2 3.9-2
libsframe3 2.46-3ubuntu2
libsmartcols1 2.41.3-3ubuntu2
libsqlite3-0 3.46.1-9ubuntu0.2
libss2 1.47.2-3ubuntu4
libssh2-1t64 1.11.1-1ubuntu0.26.04.3
libssl3t64 3.5.5-1ubuntu3.4
libstdc++-15-dev 15.2.0-16ubuntu1
libstdc++6 16-20260322-1ubuntu1
libsystemd0 259.5-0ubuntu3.4
libtasn1-6 4.21.0-2
libtinfo6 6.6+20251231-1
libtsan2 16-20260322-1ubuntu1
libubsan1 16-20260322-1ubuntu1
libudev1 259.5-0ubuntu3.4
libunistring5 1.3-2build1
libuuid1 2.41.3-3ubuntu2
libxml2-16 2.15.2+dfsg-0.1ubuntu0.1
libxxhash0 0.8.3-2build1
libzstd1 1.5.7+dfsg-3
linux-libc-dev 7.0.0-30.30
llvm-21-linker-tools 1:21.1.8-6ubuntu1
login 1:4.16.0-2+really2.41.3-3ubuntu2
